pair,window_idx,start_time,end_time,eg_stat,eg_pval,gamma,alpha,adf_pval
ZEC/AVAX,0,2025-03-05 20:00,2025-06-03 16:00,-1.0331477658991033,0.8963779272811605,0.8747940559475123,0.9732095246522603,0.7691904608500086
ZEC/AVAX,1,2025-04-04 20:00,2025-07-03 16:00,-1.2373665940387382,0.8478428331270964,0.4843008233467194,2.2399025695843378,0.6575831891504559
ZEC/AVAX,2,2025-05-04 20:00,2025-08-02 16:00,-1.6383722267797791,0.7044250266158936,0.275298518679416,2.9239791075405783,0.4641848000081793
ZEC/AVAX,3,2025-06-03 20:00,2025-09-01 16:00,-3.203636888372494,0.06932169739716117,0.015075517491576013,3.670205985689812,0.019860637530268285
ZEC/AVAX,4,2025-07-03 20:00,2025-10-01 16:00,2.5056297713265607,1.0,0.7219747990470942,1.4575142115609643,0.9990816212013658
ZEC/AVAX,5,2025-08-02 20:00,2025-10-31 16:00,-1.14672510531162,0.8713046340758037,-1.97565290916686,10.702927876145724,0.697085644170917
ZEC/AVAX,6,2025-09-01 20:00,2025-11-30 16:00,-2.8727891017230425,0.1436195277832535,-2.997144140512071,14.445153165378947,0.04878104746991296
ZEC/AVAX,7,2025-10-01 20:00,2025-12-30 16:00,-2.6459108017056314,0.219632281823523,-1.1992458360803966,9.28478298116379,0.08410027828122119
ZEC/AVAX,8,2025-10-31 20:00,2026-01-29 16:00,-2.839882189303021,0.1533243982096238,0.6526375558365313,4.398071086415082,0.05289222524772576
ZEC/AVAX,9,2025-11-30 20:00,2026-02-28 16:00,-2.1787138471559437,0.43536594636812337,1.2676235967961278,2.7650035806330777,0.21497770156560048
ZEC/AVAX,10,2025-12-30 20:00,2026-03-30 16:00,-3.120241516382234,0.08430925160964292,1.5090573472347608,2.127252020594137,0.025022394513401693
ZEC/AVAX,11,2026-01-29 20:00,2026-04-29 16:00,-1.084963472032285,0.8855122430420561,1.2311860991601813,2.8297415958428482,0.721697934048951
ZEC/AVAX,12,2026-02-28 20:00,2026-05-29 16:00,-0.3649221791689595,0.9726713475433708,2.241179131254281,0.8043065571586177,0.9164431649086868
ZEC/AVAX,13,2026-03-30 20:00,2026-06-28 16:00,-2.3911874969870053,0.3290400848581687,-0.01162036519572826,6.070539680348173,0.1434208950257208
ZEC/AVAX,14,2026-04-29 20:00,2026-07-28 16:00,-3.671890562539857,0.01990661855860027,0.4159719082257255,5.3539739891172005,0.004338117751695824
ZEC/AVAX,15,2026-05-29 20:00,2026-08-27 16:00,-1.748759052098615,0.6542612274430855,1.051178496138704,4.2016502538667115,0.41275159174959564
ENA/SUI,0,2025-03-05 20:00,2025-06-03 16:00,-2.321467214294061,0.3628911689894988,0.16817165129307163,-1.2325523250402979,0.16582704801926956
ENA/SUI,1,2025-04-04 20:00,2025-07-03 16:00,-2.578709243402388,0.24550061037814036,0.4664401671736333,-1.666818573571309,0.09798021979331856
ENA/SUI,2,2025-05-04 20:00,2025-08-02 16:00,-0.7103624572925592,0.9455088256327915,1.4721556938270584,-2.8506152781062823,0.8456484614739134
ENA/SUI,3,2025-06-03 20:00,2025-09-01 16:00,-0.914343648179673,0.9179261779288679,2.3137423796940304,-3.6487173663545995,0.7842887257302125
ENA/SUI,4,2025-07-03 20:00,2025-10-01 16:00,-1.7616726833016354,0.6481452757360598,1.3788889279285559,-2.3073508365156257,0.39968043359252814
ENA/SUI,5,2025-08-02 20:00,2025-10-31 16:00,-2.6672274551482364,0.21158636338752618,1.1961896634234779,-1.9241137671381978,0.0802547309885055
ENA/SUI,6,2025-09-01 20:00,2025-11-30 16:00,-2.144602478187136,0.45308714820956825,1.133399274432099,-1.8598258503304184,0.2277145119926392
ENA/SUI,7,2025-10-01 20:00,2025-12-30 16:00,-1.9321096172685628,0.563637141715925,1.0743002812415106,-1.8604626859866462,0.31861394754605754
ENA/SUI,8,2025-10-31 20:00,2026-01-29 16:00,-0.4230305223432031,0.9693812868982717,1.0391635816122395,-1.9280475722041768,0.9083115057600077
ENA/SUI,9,2025-11-30 20:00,2026-02-28 16:00,-2.871401794384404,0.14401971290186982,1.2523244030189076,-2.0884674966527212,0.045814817575685486
ENA/SUI,10,2025-12-30 20:00,2026-03-30 16:00,-2.436398488894298,0.30781524302591873,1.1916132655646186,-2.155592909513407,0.1323679886929654
ENA/SUI,11,2026-01-29 20:00,2026-04-29 16:00,-2.427926299079079,0.31174504967198685,1.5034545376442918,-2.163627358552663,0.1346396361195894
ENA/SUI,12,2026-02-28 20:00,2026-05-29 16:00,-2.64763506823897,0.21897460405693547,0.87734076047842,-2.2433410599222725,0.08468268387868422
ENA/SUI,13,2026-03-30 20:00,2026-06-28 16:00,-2.3808572113394346,0.3339742418686061,0.7048430825321799,-2.256665033457507,0.1478715271088677
ENA/SUI,14,2026-04-29 20:00,2026-07-28 16:00,-2.7534351167429363,0.18095090381615353,0.7305646907966437,-2.261792711562457,0.06562972069501712
ENA/SUI,15,2026-05-29 20:00,2026-08-27 16:00,0.5682285905323792,0.9930544055608695,0.969674831318313,-2.1238964896594474,0.9871556666507677
SOL/ADA,0,2025-03-05 20:00,2025-06-03 16:00,-2.0574028722024447,0.49864029516771524,1.0049494674321258,5.311479240782646,0.24014925304536472
SOL/ADA,1,2025-04-04 20:00,2025-07-03 16:00,-2.025858476561741,0.5151128629411207,0.8019281804843708,5.328988978685604,0.2460059609648198
SOL/ADA,2,2025-05-04 20:00,2025-08-02 16:00,-3.2842348604124347,0.05693378162084875,0.6301923240297023,5.314628318720987,0.015407448487221075
SOL/ADA,3,2025-06-03 20:00,2025-09-01 16:00,-1.9899740237966916,0.5337856531308499,0.6724947117849125,5.341854145675947,0.29265043138710356
SOL/ADA,4,2025-07-03 20:00,2025-10-01 16:00,-1.1516204744608034,0.8701180912759697,0.8671235034141241,5.441031174679821,0.6949191286798361
SOL/ADA,5,2025-08-02 20:00,2025-10-31 16:00,-2.2319643422639515,0.40794660121482906,0.419841760634461,5.405497233242286,0.19439277185311998
SOL/ADA,6,2025-09-01 20:00,2025-11-30 16:00,-2.7561519454457653,0.1800354442967136,0.7421365050046713,5.53310482572487,0.06519378873901599
SOL/ADA,7,2025-10-01 20:00,2025-12-30 16:00,-2.0995750453936033,0.4765893151615575,0.7440504173801856,5.548386509911007,0.2462055841347363
SOL/ADA,8,2025-10-31 20:00,2026-01-29 16:00,-2.9721727031169,0.11696909568171526,0.5482226617049963,5.3951270448134,0.037389458264615046
SOL/ADA,9,2025-11-30 20:00,2026-02-28 16:00,-1.8627661171967966,0.5987647347780016,1.159668948065479,5.974073216223048,0.3515050456037685
SOL/ADA,10,2025-12-30 20:00,2026-03-30 16:00,-2.318199012488685,0.3645076564674729,1.2185374166885508,6.067418474675721,0.16696149125980098
SOL/ADA,11,2026-01-29 20:00,2026-04-29 16:00,-2.82269880610271,0.158569199781253,0.7577204753309943,5.469675639865883,0.0545857026005374
SOL/ADA,12,2026-02-28 20:00,2026-05-29 16:00,-3.3497573003255465,0.048245384630936645,0.7501968853058258,5.479938257164568,0.01231876085944896
SOL/ADA,13,2026-03-30 20:00,2026-06-28 16:00,-1.8147006762179645,0.6225543400321975,0.4939941741218464,5.129378320249167,0.3783000724750071
SOL/ADA,14,2026-04-29 20:00,2026-07-28 16:00,-1.8054839372996045,0.6270545570935101,0.39265686802644356,5.000938916703658,0.37878253506747256
SOL/ADA,15,2026-05-29 20:00,2026-08-27 16:00,0.4924373880768278,0.992599631824546,0.4948777050000711,5.18697264637893,0.9858140699456296
BNB/ETH,0,2025-03-05 20:00,2025-06-03 16:00,-3.0265836684189864,0.10402099260784409,0.27409950991290816,4.338064919200402,0.03217646636870667
BNB/ETH,1,2025-04-04 20:00,2025-07-03 16:00,-3.2400664577482643,0.06347901862340177,0.26057238949075767,4.443764057925906,0.017920865408320417
BNB/ETH,2,2025-05-04 20:00,2025-08-02 16:00,-3.476936062450322,0.03449546036143975,0.4061601028696039,3.305753517717046,0.008528177422486875
BNB/ETH,3,2025-06-03 20:00,2025-09-01 16:00,-3.4249510230578823,0.03965378853167156,0.4617647289869373,2.859660268381789,0.01024169054412729
BNB/ETH,4,2025-07-03 20:00,2025-10-01 16:00,-0.14614589771276493,0.9818631896038055,0.6002067430706852,1.753238458768865,0.9449799941623269
BNB/ETH,5,2025-08-02 20:00,2025-10-31 16:00,-1.6669512657041323,0.6918227587159679,-0.12503765924614904,7.9155272679557935,0.43227277905032274
BNB/ETH,6,2025-09-01 20:00,2025-11-30 16:00,-2.018534590223245,0.5189309688443414,0.3470635830885402,4.044607185780404,0.27882923643191493
BNB/ETH,7,2025-10-01 20:00,2025-12-30 16:00,-4.586211107663633,0.0008806669485127927,0.8520083885069383,-0.04832384269351442,0.00013570835696525457
BNB/ETH,8,2025-10-31 20:00,2026-01-29 16:00,-3.2371286179682652,0.06393502139226787,0.7280409512220669,0.9465402274593506,0.018085746305887926
BNB/ETH,9,2025-11-30 20:00,2026-02-28 16:00,-2.7223619901028964,0.19163923517616,0.7922107906436124,0.4280780501369511,0.07067556176911556
