timestamp,open,high,low,close,volume
1741204800000,0.9907,0.9984,0.9711,0.9736,221237640.0
1741219200000,0.9736,0.988,0.9481,0.9582,331541717.0
1741233600000,0.9582,0.9677,0.9331,0.9382,272827470.0
1741248000000,0.9382,0.9699,0.9365,0.9515,284806636.0
1741262400000,0.9516,0.9519,0.9012,0.9317,482469747.0
1741276800000,0.9318,0.936,0.8852,0.902,357564671.0
1741291200000,0.9021,0.9279,0.8989,0.9058,203707277.0
1741305600000,0.9058,0.9199,0.8153,0.8522,936420024.0
1741320000000,0.8521,0.8814,0.8504,0.8749,198215614.0
1741334400000,0.8747,0.8894,0.8641,0.8789,340321102.0
1741348800000,0.8788,0.8974,0.8435,0.8574,515649277.0
1741363200000,0.8574,0.8662,0.8056,0.8523,645672934.0
1741377600000,0.8522,0.8641,0.805,0.8174,483419782.0
1741392000000,0.8174,0.8386,0.811,0.8217,229979499.0
1741406400000,0.8217,0.8315,0.8139,0.8237,153269529.0
1741420800000,0.8237,0.8258,0.7924,0.8001,215144144.0
1741435200000,0.8001,0.8248,0.7977,0.8162,218079763.0
1741449600000,0.8161,0.8227,0.7927,0.8197,194202928.0
1741464000000,0.8196,0.8211,0.8002,0.8045,109452364.0
1741478400000,0.8046,0.8166,0.7931,0.8006,146579530.0
1741492800000,0.8007,0.8173,0.7972,0.8139,214519024.0
1741507200000,0.8139,0.8152,0.7705,0.78,272073623.0
1741521600000,0.7801,0.7804,0.7503,0.7557,306063033.0
1741536000000,0.7557,0.761,0.7104,0.7306,456124966.0
1741550400000,0.7307,0.7411,0.7083,0.7208,238841515.0
1741564800000,0.7207,0.7522,0.7017,0.7404,367987384.0
1741579200000,0.7405,0.7496,0.7355,0.7455,154769417.0
1741593600000,0.7455,0.7781,0.7293,0.7564,376228142.0
1741608000000,0.7563,0.7624,0.6847,0.7005,513360854.0
1741622400000,0.7006,0.7041,0.6578,0.6883,436580744.0
1741636800000,0.6884,0.693,0.6683,0.6707,161734590.0
1741651200000,0.6707,0.7044,0.6461,0.7006,410912313.0
1741665600000,0.7005,0.7329,0.6979,0.7192,307088990.0
1741680000000,0.7193,0.7378,0.7161,0.7307,263094027.0
1741694400000,0.7306,0.735,0.6968,0.726,523994250.0
1741708800000,0.726,0.7446,0.707,0.7313,250488619.0
1741723200000,0.7313,0.7339,0.7187,0.7233,99933763.0
1741737600000,0.7234,0.7465,0.7154,0.7163,199822255.0
1741752000000,0.7163,0.7365,0.7105,0.7339,152775966.0
1741766400000,0.734,0.7504,0.7272,0.7418,205525676.0
1741780800000,0.7418,0.7689,0.7121,0.729,445873733.0
1741795200000,0.7289,0.7351,0.7167,0.7291,173557595.0
1741809600000,0.729,0.7364,0.7245,0.7354,119385901.0
1741824000000,0.7353,0.7396,0.7232,0.7266,146505246.0
1741838400000,0.7266,0.729,0.7135,0.7169,120816634.0
1741852800000,0.7169,0.7332,0.7081,0.7276,186326316.0
1741867200000,0.7277,0.7417,0.7019,0.7059,293786507.0
1741881600000,0.7058,0.7097,0.6952,0.6975,253420546.0
1741896000000,0.6975,0.7096,0.6902,0.7023,107821278.0
1741910400000,0.7023,0.7101,0.696,0.7054,128673182.0
1741924800000,0.7054,0.7171,0.7045,0.7109,106822780.0
1741939200000,0.711,0.7236,0.7089,0.7184,100373893.0
1741953600000,0.7183,0.7509,0.7139,0.7395,247121776.0
1741968000000,0.7395,0.7453,0.7317,0.7363,124072343.0
1741982400000,0.7362,0.7466,0.728,0.737,117813635.0
1741996800000,0.737,0.7538,0.7343,0.7485,81394423.0
1742011200000,0.7485,0.7571,0.731,0.7334,102482987.0
1742025600000,0.7334,0.7435,0.7304,0.7428,101809949.0
1742040000000,0.7429,0.753,0.7419,0.749,110249309.0
1742054400000,0.7491,0.7557,0.7433,0.7481,77025716.0
1742068800000,0.7481,0.7592,0.746,0.7461,68870579.0
1742083200000,0.7461,0.7468,0.7326,0.7419,93646953.0
1742097600000,0.7419,0.7445,0.7346,0.7386,58456011.0
1742112000000,0.7386,0.7402,0.7035,0.7051,196138268.0
1742126400000,0.7052,0.7119,0.6962,0.7037,206831512.0
1742140800000,0.7037,0.7161,0.6917,0.6984,197961507.0
1742155200000,0.6984,0.7076,0.6946,0.7042,104815788.0
1742169600000,0.7043,0.7193,0.7035,0.7151,93341408.0
1742184000000,0.7151,0.7231,0.702,0.7205,117608546.0
1742198400000,0.7205,0.7292,0.7175,0.7232,106190740.0
1742212800000,0.7232,0.7293,0.7128,0.724,180889322.0
1742227200000,0.7239,0.7298,0.7166,0.7252,90121306.0
